x,A1,A2,A5,A8,Ainf
-0.094951,,0.0011,,,
-0.09,0.00246,0.0075,0.00775,0.00761,0.00979
-0.08,0.01095,0.02055,0.02751,0.03197,0.04044
-0.07,0.01935,0.03381,0.04688,0.05585,0.06477
-0.06,0.02769,0.04727,0.065,0.07969,0.08787
-0.05,0.0361,0.0608,0.08216,0.10422,0.11308
-0.04,0.04471,0.07429,0.09983,0.12901,0.13829
-0.03,0.0537,0.08765,0.11798,0.1525,0.15986
-0.02,0.06314,0.10082,0.13642,0.17519,0.18104
-0.01,0.07269,0.11385,0.15491,0.19786,0.20497
7.5287e-16,0.08184,0.12683,0.17306,0.21908,0.22982
0.01,0.09032,0.13983,0.19053,0.23892,0.25262
0.02,0.09838,0.15275,0.20767,0.26018,0.2754
0.03,0.1063,0.16549,0.2251,0.28353,0.3007
0.04,0.11435,0.17789,0.24274,0.30676,0.32569
0.05,0.12266,0.18997,0.26025,0.32915,0.34725
0.06,0.1311,0.20196,0.27764,0.35158,0.36897
0.07,0.13951,0.21411,0.29546,0.3741,0.39221
0.08,0.1478,0.22652,0.31433,0.39628,0.41647
0.09,0.15597,0.23904,0.3337,0.41814,0.44157
0.1,0.16403,0.25154,0.35176,0.44,0.46648
0.11,0.17197,0.26392,0.36792,0.46203,0.48959
0.12,0.17978,0.27609,0.38375,0.48428,0.51116
0.13,0.18749,0.28811,0.40113,0.50692,0.53322
0.14,0.19515,0.3,0.4201,0.52981,0.55733
0.15,0.2028,0.31182,0.43842,0.55265,0.58222
0.16,0.21048,0.32358,0.45565,0.57539,0.60635
0.17,0.2182,0.33529,0.47256,0.59803,0.63
0.18,0.22599,0.34693,0.48969,0.62051,0.65367
0.19,0.23385,0.35851,0.50707,0.64283,0.6775
0.2,0.24176,0.37003,0.52447,0.66515,0.70102
0.21,0.24965,0.38152,0.54163,0.6876,0.72384
0.22,0.25748,0.39301,0.5584,0.7103,0.74668
0.23,0.26518,0.40452,0.57518,0.73332,0.77071
0.24,0.27273,0.41602,0.59251,0.7567,0.79588
0.25,0.28016,0.42746,0.61013,0.78013,0.82055
0.26,0.28754,0.4388,0.62728,0.80294,0.84344
0.27,0.29489,0.44996,0.64392,0.82449,0.86573
0.28,0.30227,0.46087,0.66037,0.84476,0.88951
0.29,0.3097,0.4715,0.67684,0.86407,0.91428
0.3,0.31714,0.48193,0.69339,0.88268,0.93808
0.31,0.32457,0.49225,0.71008,0.90062,0.96102
0.32,0.33197,0.50256,0.7265,0.91791,0.98436
0.33,0.3393,0.51288,0.74196,0.93407,1.00917
0.34,0.34653,0.52319,0.75602,0.94844,1.02672
0.35,0.35367,0.53346,0.76936,0.96065,1.03653
0.36,0.36077,0.54365,0.78294,0.9707,1.04104
0.37,0.36785,0.55368,0.79721,0.97845,1.04158
0.38,0.37492,0.56346,0.81148,0.98355,1.03964
0.39,0.38198,0.57286,0.8249,0.98594,1.03562
0.4,0.38905,0.58187,0.83688,0.98591,1.02778
0.41,0.39612,0.59056,0.84742,0.98381,
0.42,0.4031,0.59904,0.85667,0.97988,
0.43,0.40994,0.60738,0.86483,0.97413,
0.44,0.41677,0.61562,0.8721,,
0.45,0.42358,0.62375,0.87863,,
0.46,0.43036,0.63178,0.88447,,
0.47,0.43708,0.63967,0.88955,,
0.48,0.44369,0.64737,0.89367,,
0.49,0.45015,0.6548,0.89666,,
0.5,0.45643,0.66185,0.89836,,
0.51,0.46254,0.66848,0.89877,,
0.52,0.46862,0.67474,0.89779,,
0.53,0.47479,0.68071,0.8952,,
0.54,0.48118,0.68644,0.89095,,
0.55,0.48786,0.69195,0.88509,,
0.56,0.4946,0.69718,,,
0.57,0.50114,0.70203,,,
0.58,0.50724,0.70642,,,
0.59,0.51276,0.7103,,,
0.6,0.51785,0.71378,,,
0.61,0.5227,0.71708,,,
0.62,0.52751,0.72048,,,
0.63,0.53243,0.7242,,,
0.64,0.53749,0.72764,,,
0.65,0.54255,0.73003,,,
0.66,0.54746,0.73143,,,
0.67,0.5521,0.7322,,,
0.68,0.55647,0.73253,,,
0.69,0.56059,0.73246,,,
0.7,0.56446,0.73191,,,
0.71,0.56807,0.73073,,,
0.72,0.57133,0.72865,,,
0.73,0.57425,0.72561,,,
0.74,0.57697,0.72182,,,
0.75,0.5797,0.71763,,,
0.76,0.58259,,,,
0.77,0.58549,,,,
0.78,0.5882,,,,
0.79,0.59052,,,,
0.8,0.59219,,,,
0.81,0.59321,,,,
0.82,0.5938,,,,
0.83,0.59423,,,,
0.84,0.59472,,,,
0.85,0.59528,,,,
0.86,0.59585,,,,
0.87,0.59637,,,,
0.88,0.59672,,,,
0.89,0.59671,,,,
0.9,0.59612,,,,
0.91,0.59492,,,,
0.92,0.59323,,,,
0.93,0.59121,,,,
0.94,0.58893,,,,
0.95,0.58641,,,,
0.96,0.58361,,,,
0.97,0.58036,,,,
0.98,0.57651,,,,
0.99,0.57195,,,,
1,0.56671,,,,
1.01,0.56085,,,,
1.02,0.55439,,,,
1.03,0.5474,,,,
1.04,0.53979,,,,
1.049266,0.5318,,,,
